,salary_lower,salary_upper
0,NA,NA
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,204,300
7,NA,NA
8,NA,NA
9,185,420
10,NA,NA
11,96,192
12,NA,NA
13,NA,NA
14,NA,NA
15,240,430
16,NA,NA
17,204,430
18,204,430
19,NA,NA
20,204,405
21,204,423
22,204,420
23,204,420
24,NA,NA
25,NA,NA
26,204,420
27,236,236
28,NA,NA
29,240,360
30,NA,NA
31,NA,NA
32,NA,NA
33,198,511
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,126,126
40,540,540
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,360,420
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,126,126
77,540,540
78,NA,NA
79,NA,NA
80,NA,NA
81,NA,NA
82,240,360
83,NA,NA
84,NA,NA
85,NA,NA
86,240,401
87,NA,NA
88,NA,NA
89,NA,NA
90,384,480
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,178,298
97,230,276
98,273,273
99,NA,NA
100,NA,NA
101,NA,NA
102,312,558
103,200,336
104,185,420
105,282,450
106,NA,NA
107,NA,NA
108,NA,NA
109,204,423
110,NA,NA
111,180,414
112,NA,NA
113,204,423
114,185,420
115,190,396
116,216,456
117,NA,NA
118,435,720
119,NA,NA
120,205,421
121,240,450
122,NA,NA
123,NA,NA
124,NA,NA
125,240,432
126,NA,NA
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,288,476
132,NA,NA
133,NA,NA
134,282,456
135,NA,NA
136,NA,NA
137,NA,NA
138,NA,NA
139,185,420
140,NA,NA
141,NA,NA
142,185,420
143,246,408
144,516,600
145,223,432
146,213,468
147,150,267
148,NA,NA
149,NA,NA
150,420,600
151,NA,NA
152,NA,NA
153,185,432
154,NA,NA
155,NA,NA
156,NA,NA
157,336,456
158,NA,NA
159,NA,NA
160,NA,NA
161,NA,NA
162,NA,NA
163,NA,NA
164,NA,NA
165,185,420
166,282,456
167,276,480
168,240,450
169,NA,NA
170,NA,NA
171,196,300
172,NA,NA
173,NA,NA
174,240,330
175,228,450
176,NA,NA
